"","STATIONID","LAT","LONG","STATION"
"317","USW00004847","41.8678",-84.0794,"ADRIAN LENAWEE CO AP"
"318","USW00004849","41.3464",-82.1789,"ELYRIA LORAIN CO AP"
"319","USW00004850","40.7081",-84.0214,"LIMA ALLEN CO AP"
"320","USW00004851","41.3358",-84.4286,"DEFIANCE AP"
"321","USW00004853","41.5256",-81.6692,"CLEVELAND BURKE LAKEFRONT AP"
"322","USW00004854","45.0167",-84.6894,"GAYLORD OTSEGO CO AP"
"323","USW00004855","40.6158",-83.0672,"MARION MUNI AP"
"324","USW00004857","41.7794",-80.6969,"ASHTABULA CO AP"
"325","USW00004858","40.0264",-82.4633,"NEWARK HEATH AP"
"326","USW00004864","45.1542",-89.1106,"ANTIGO LANGLADE CO AP"
"327","USW00004869","46.2500",-84.4667,"CHIPPEWA INTL AP"
"328","USW00004891","45.1992",-89.7114,"MERRILL MUNI AP"
"329","USW00004895","44.5500",-89.5333,"STEVENS POINT MUNI AP"
"330","USW00004901","40.8931",-97.9972,"AURORA MUNI AP"
"331","USW00004902","43.6647",-92.9333,"AUSTIN MUNI AP"
"332","USW00004916","43.2753",-91.7392,"DECORAH MUNI AP"
"333","USW00004927","43.6767",-92.1797,"PRESTONE FILLMORE AP"
"334","USW00004935","40.4500",-99.3392,"HOLDREGE BREWSTER FLD AP"
"335","USW00004955","42.6808",-91.9744,"OELWEIN MUNI AP"
"336","USW00004956","44.0769",-91.7081,"WINONA MUNI AP"
"337","USW00004963","43.0192",-91.1236,"PRAIRIE DU CHIEN AP"
"338","USW00004967","44.5892",-92.4847,"RED WING RGNL AP"
"339","USW00004978","44.0178",-92.8314,"DODGE CTR AP"
"340","USW00004998","40.1492",-97.5867,"HEBRON MUNI AP"
"341","USW00012809","27.9500",-81.7833,"BARTOW MUNI AP"
"342","USW00012812","26.9183",-81.9939,"PUNTA GORDA CHARLOTTE CO AP"
"343","USW00012815","28.4183",-81.3242,"ORLANDO INTL AP"
"344","USW00012816","29.6917",-82.2761,"GAINESVILLE RGNL AP"
"345","USW00012818","28.4739",-82.4536,"BROOKSVILLE HERNANDO CO AP"
"346","USW00012819","28.8214",-81.8097,"LEESBURG MUNI AP"
"347","USW00012832","29.7269",-85.0247,"APALACHICOLA AP"
"348","USW00012833","29.6333",-83.1053,"CROSS CITY AP"
"349","USW00012834","29.1736",-81.0719,"DAYTONA BEACH INTL AP"
"350","USW00012835","26.5850",-81.8614,"FT MYERS PAGE FLD AP"
"351","USW00012836","24.5569",-81.7553,"KEY W INTL AP"
"352","USW00012838","28.0997",-80.6356,"MELBOURNE INTL AP"
"353","USW00012839","25.7881",-80.3169,"MIAMI INTL AP"
"354","USW00012841","28.5467",-81.3356,"ORLANDO EXECUTIVE AP"
"355","USW00012842","27.9633",-82.54,"TAMPA INTL AP"
"356","USW00012843","27.6553",-80.4142,"VERO BEACH INTL AP"
"357","USW00012844","26.6850",-80.0992,"W PALM BEACH INTL AP"
"358","USW00012849","26.0789",-80.1622,"FT LAUDERDALE INTL AP"
"359","USW00012854","28.7794",-81.2436,"ORLANDO SANFORD AP"
"360","USW00012871","27.4014",-82.5586,"SARASOTA BRADENTON AP"
"361","USW00012873","27.9125",-82.6856,"ST PETERSBURG CLEARWATER INTL"
"362","USW00012876","28.0614",-81.7569,"WINTER HAVEN GILBERT AP"
"363","USW00012882","25.9103",-80.2828,"MIAMI OPA LOCKA AP"
"364","USW00012883","28.0000",-82.05,"LAKELAND LINDER RGNL AP"
"365","USW00012885","26.1992",-80.1778,"FT LAUDERDALE EXECUTIVE AP"
"366","USW00012888","25.6422",-80.4347,"MIAMI KENDALL TAMIAMI EXEC AP"
"367","USW00012894","26.5381",-81.7567,"FT MYERS SW FLORIDA RGNL AP"
"368","USW00012895","27.4981",-80.3764,"FT PIERCE ST LUCIE CO INTL AP"
"369","USW00012896","24.7261",-81.0478,"MARATHON AP"
"370","USW00012897","26.1550",-81.7753,"NAPLES MUNI AP"
"371","USW00012904","26.2303",-97.6556,"HARLINGEN RIO GRANDE VLY INTL"
"372","USW00012907","27.5333",-99.4667,"LAREDO INTL AP"
"373","USW00012912","28.8625",-96.93,"VICTORIA RGNL AP"
"374","USW00012916","29.9975",-90.2778,"NEW ORLEANS AP"
"375","USW00012917","29.9519",-94.0261,"PORT ARTHUR SE TX RGNL AP"
"376","USW00012918","29.6458",-95.2822,"HOUSTON WILLIAM P HOBBY AP"
"377","USW00012920","27.5333",-99.4667,"LAREDO WB AP"
